ID,cell_type,fraction
GSM4331596,Dendritic.cells.activated,0
GSM4331597,Dendritic.cells.activated,0.000220364
GSM4331598,Dendritic.cells.activated,0.06435647
GSM4331599,Dendritic.cells.activated,0.085678787
GSM4331600,Dendritic.cells.activated,0
GSM4331601,Dendritic.cells.activated,0
GSM4331602,Dendritic.cells.activated,0
GSM4331603,Dendritic.cells.activated,0
GSM2198196,Mast.cells.resting,0.05524842
GSM2198197,Mast.cells.resting,0.039911651
GSM2198198,Mast.cells.resting,0.051173799
GSM2198199,Mast.cells.resting,0.153117246
GSM2198200,Mast.cells.resting,0.292249295
GSM2198201,Mast.cells.resting,0.280625675
GSM4331585,Mast.cells.resting,0.163331764
GSM4331586,Mast.cells.resting,0.12196989
GSM4331587,Mast.cells.resting,0
GSM4331588,Mast.cells.resting,0.191977111
GSM4331589,Mast.cells.resting,0.133181694
GSM4331590,Mast.cells.resting,0.110496716
GSM4331591,Mast.cells.resting,0.102997138
GSM4331592,Mast.cells.resting,0.112334083
GSM4331593,Mast.cells.resting,0.017446226
GSM4331594,Mast.cells.resting,0.192401821
GSM4331595,Mast.cells.resting,0.224853058
GSM4331596,Mast.cells.resting,0.202925774
GSM4331597,Mast.cells.resting,0.12254977
GSM4331598,Mast.cells.resting,0.078377498
GSM4331599,Mast.cells.resting,0.069953694
GSM4331600,Mast.cells.resting,0.296490842
GSM4331601,Mast.cells.resting,0.188933433
GSM4331602,Mast.cells.resting,0.138251173
GSM4331603,Mast.cells.resting,0.227554428
GSM2198196,Mast.cells.activated,0
GSM2198197,Mast.cells.activated,0
GSM2198198,Mast.cells.activated,0
GSM2198199,Mast.cells.activated,0
GSM2198200,Mast.cells.activated,0
GSM2198201,Mast.cells.activated,0
GSM4331585,Mast.cells.activated,0
GSM4331586,Mast.cells.activated,0
GSM4331587,Mast.cells.activated,0.143480217
GSM4331588,Mast.cells.activated,0
GSM4331589,Mast.cells.activated,0
GSM4331590,Mast.cells.activated,0
GSM4331591,Mast.cells.activated,0
GSM4331592,Mast.cells.activated,0
GSM4331593,Mast.cells.activated,0
GSM4331594,Mast.cells.activated,0
GSM4331595,Mast.cells.activated,0
GSM4331596,Mast.cells.activated,0
GSM4331597,Mast.cells.activated,0
GSM4331598,Mast.cells.activated,0
GSM4331599,Mast.cells.activated,0
GSM4331600,Mast.cells.activated,0
GSM4331601,Mast.cells.activated,0
GSM4331602,Mast.cells.activated,0
GSM4331603,Mast.cells.activated,0
GSM2198196,Eosinophils,0
GSM2198197,Eosinophils,0
GSM2198198,Eosinophils,0
GSM2198199,Eosinophils,0.007548873
GSM2198200,Eosinophils,0
GSM2198201,Eosinophils,0
GSM4331585,Eosinophils,0.009102294
GSM4331586,Eosinophils,0
GSM4331587,Eosinophils,0
GSM4331588,Eosinophils,0
GSM4331589,Eosinophils,0
GSM4331590,Eosinophils,0
GSM4331591,Eosinophils,0
GSM4331592,Eosinophils,0
GSM4331593,Eosinophils,0
GSM4331594,Eosinophils,0
GSM4331595,Eosinophils,0
GSM4331596,Eosinophils,0
GSM4331597,Eosinophils,0
GSM4331598,Eosinophils,0
GSM4331599,Eosinophils,0
GSM4331600,Eosinophils,0
GSM4331601,Eosinophils,0
GSM4331602,Eosinophils,0
GSM4331603,Eosinophils,0
GSM2198196,Neutrophils,0
GSM2198197,Neutrophils,0
GSM2198198,Neutrophils,0.01828557
GSM2198199,Neutrophils,0
GSM2198200,Neutrophils,0
GSM2198201,Neutrophils,0
GSM4331585,Neutrophils,0.007790041
GSM4331586,Neutrophils,0
GSM4331587,Neutrophils,0
GSM4331588,Neutrophils,0.008537227
GSM4331589,Neutrophils,0
GSM4331590,Neutrophils,0
GSM4331591,Neutrophils,0
GSM4331592,Neutrophils,0.014671252
GSM4331593,Neutrophils,0.006204941
GSM4331594,Neutrophils,0.007676622
GSM4331595,Neutrophils,0.007399858
GSM4331596,Neutrophils,0
GSM4331597,Neutrophils,0
GSM4331598,Neutrophils,0
GSM4331599,Neutrophils,0
GSM4331600,Neutrophils,0.010219116
GSM4331601,Neutrophils,0.004968101
GSM4331602,Neutrophils,0
GSM4331603,Neutrophils,0.012432615
