"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NCR2",-0.0395782172820489,5.29377805032,-0.329289758903302,0.744640503394232,0.926458930593295,-6.2632529146181
"AQP5",-0.0395727791281981,8.29061689048,-0.152802152812421,0.879763416004705,0.970003359692111,-6.30594679132872
"TSSK1B",-0.0395543026089702,3.95023717244,-0.387475957058945,0.701636420072102,0.910983561376746,-6.24237906885328
"OR10R2",0.0395265904102589,2.52533775032,0.707120765756153,0.48593808722277,0.825748395253736,-6.06863731457302
"TRPM2",0.039524785717953,4.72136306176,0.459197669959022,0.650003549574994,0.892926763171161,-6.21204906490158
"WBP2",-0.039515682717945,7.61921535968,-0.390080426583322,0.699733741634143,0.910983561376746,-6.24136638926622
"BLVRB",-0.0394758919999951,7.07389389184,-0.402293640384783,0.690838266396804,0.908392691096777,-6.23652825047709
"C8orf44",-0.039472245923073,4.76398421388,-0.482084362182878,0.633880096265747,0.883809336814928,-6.20130701544056
"ZC3H12D",0.0394638755000045,4.58367473024,0.511279369833088,0.613577766685766,0.876860517703463,-6.1868606466306
"MATK",-0.0394617545384595,4.08321682436,-0.433316048439207,0.668448138850851,0.899535280988487,-6.22357780850379
"BTBD16",0.0394464218974395,4.11295342828,0.290738769113066,0.773615243923831,0.935691388769485,-6.27523216186423
"TMF1",0.039434369487183,5.2607413352,0.445514072673152,0.659727832095855,0.89575499386558,-6.21822627124194
"TMEM39B",-0.039412043923071,6.23822154784,-0.432908081660494,0.668740622300569,0.899535280988487,-6.22375426445871
"IQCD",-0.0393907498461514,2.71377540392,-0.494825036345116,0.624982944255203,0.881321974163483,-6.19510499247234
"B3GAT2",0.0393714074102602,3.59365611748,0.556084317886739,0.58302618811053,0.86491095087936,-6.16307535825423
"CLCNKA",-0.0393476755128175,6.1139443196,-0.128480310209499,0.898782225184512,0.97413121179049,-6.30938609895909
"ZSCAN2",-0.0393454346281983,6.85383025884,-0.677898689066431,0.503973732295992,0.832843416833452,-6.08861064325813
"OSGEP",0.0393303192307748,6.131136159,0.520256286384593,0.6073967901784,0.874720043705898,-6.18225152192618
"SSPO",0.0392637500000035,5.9928678,0.293486679408376,0.771538248433112,0.934884409227071,-6.274427225375
"STXBP5L",0.0392513347371808,2.17790822852,0.760768647966835,0.453810294628251,0.812941535182649,-6.02986724939352
"MAK",0.0392483134358996,2.45699499968,0.823533637741166,0.417881232974581,0.793593786743371,-5.98108447539726
"CPLX2",-0.0392227012051256,5.77569423896,-0.502174351273632,0.619876829470221,0.879239768581441,-6.19145530784412
"ZNF513",-0.0392136091281969,6.75331124608,-0.560316706367166,0.580179458498427,0.863658772731724,-6.16072779857233
"YME1L1",0.0392100245641043,8.40571944756,0.783457792557217,0.440613327276399,0.807108359633489,-6.01265666763402
"C2orf47",-0.0391948213846129,5.79403096112,-0.530354673654276,0.600479050613946,0.872434887482171,-6.17697281877466
"KRT12",-0.0391521262307668,1.98314109364,-0.786896047554927,0.438634022251995,0.805850424604884,-6.01000662513931
"CTXN3",0.0391346519102576,2.20807067184,0.955098747118017,0.348542870577124,0.748716092239884,-5.86704044658493
"CNGB1",0.0391326459102617,7.06192147696,0.567795102406444,0.575166389300175,0.861557406370335,-6.15653738768818
"USP29",-0.0391161696153803,4.3399003982,-0.475029375807657,0.638831141685474,0.886431614808698,-6.20467301849575
"SBK1",0.0391081203589758,2.78252140508,0.65756912847133,0.516738782350908,0.839430944082218,-6.10202691637791
"AP2B1",0.0390996921538509,8.48023729608,0.607742561380758,0.548761670633546,0.850986589038924,-6.13323831858292
"GLRA2",0.0390953729743613,2.41471074672,0.462524494354376,0.647648766550047,0.891504967238943,-6.21051947108826
"OK/SW-CL.36",0.0390916599487192,2.56453714216,0.48056934533701,0.634941850804921,0.883957722618354,-6.20203395108158
"ZNF629",-0.0390911476410176,6.60766261144,-0.627940958522249,0.535656111787564,0.84430179517095,-6.12087285827706
