"","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulate"
"ARHGEF25",0.771872576115385,6.56460262092,4.07097885999181,0.000402248145164529,0.010807310620175,-0.074362013519699,"up-regulated"
"ENPP4",-0.770872708032051,5.86234155176,-3.75267151977813,0.000913290547990402,0.0192586944629175,-0.855003088357152,"down-regulated"
"LPAR1",-0.770198608307694,7.64397623432,-3.28186729949774,0.0029954902067399,0.0409855173935143,-1.975802870208,"down-regulated"
"SH3PXD2A",0.769351612320515,7.79143460776,5.05804089623665,3.0657425125015e-05,0.00185665889783749,2.39660094499983,"up-regulated"
"ISOC1",-0.768095712282054,6.64180804672,-4.86274963255764,5.1036168956243e-05,0.00267433144917164,1.90583216232862,"down-regulated"
"KIFAP3",0.76746773573077,8.50262821292,4.49267247891926,0.00013421634539695,0.00515146736605383,0.97645291843507,"up-regulated"
"TMEM48",-0.765367675891026,6.23588175188,-5.7076441815025,5.69731511209852e-06,0.000601351610081999,4.01917891332523,"down-regulated"
"WIPF1",0.763848964128203,6.07019518532,3.96460432650719,0.000529640382904835,0.0131076552596981,-0.336787310229909,"up-regulated"
"KRBA1",0.762296516525639,7.71455026324,3.88875292593411,0.000644036458342505,0.0152270827918835,-0.523023566925892,"up-regulated"
"TRPV4",-0.761752770743592,6.00873252712,-4.85780936099684,5.16990023512134e-05,0.00268998647092916,1.89341313863147,"down-regulated"
"KIF26B",0.761671888923077,6.04323001176,3.73814040745202,0.000947875363555306,0.0197000762971262,-0.890274529766696,"up-regulated"
"CAPN5",0.759351538025641,4.70071427256,5.75261859243061,5.07595259808659e-06,0.000559756354790489,4.13055788254766,"up-regulated"
"PIR",-0.755121949205127,6.58025651992,-3.44436046329188,0.00199654943210574,0.0314674688946437,-1.59462893362196,"down-regulated"
"PHACTR2",0.753534393333338,7.6857539278,5.56778871772476,8.16691824416848e-06,0.000768678668115144,3.67186758956963,"up-regulated"
"FOXN3",0.748054208833334,7.53933601324,4.1019643858855,0.00037120593669241,0.0104839449908836,0.00232576092384118,"up-regulated"
"SMYD2",0.747931104512824,7.28818220032,5.84203588075934,4.03661778629657e-06,0.000489217963627486,4.35151676224675,"up-regulated"
"LIPA",0.747521868269233,7.330988041,3.85236062418836,0.000707242002021379,0.0163295547872967,-0.612086844319863,"up-regulated"
"EVI2A",0.747139825410257,5.69213042712,3.20961340763402,0.00358145272956994,0.04618073907928,-2.14302981570466,"up-regulated"
"VGLL3",0.743307033762822,6.98845136536,4.54876671738309,0.000115925786657463,0.00465498736260143,1.11708738139083,"up-regulated"
"FUCA1",-0.742557980237179,7.15412797764,-3.59352680692394,0.00137001150489992,0.0248938661580541,-1.23919538587802,"down-regulated"
"ERRFI1",-0.741298266692308,7.44610941568,-3.32137265308733,0.00271544465457028,0.0384349862649282,-1.88375926858446,"down-regulated"
"CD109",0.741278593602562,7.39315660616,5.47806183741064,1.02970004594025e-05,0.000916619131256571,3.44834539876623,"up-regulated"
"LGR4",0.739618707820515,7.0585209036,4.83258982545687,5.52195682181554e-05,0.00283326235958223,1.83001545634017,"up-regulated"
"SYNPO2",0.738829830743588,4.75841385968,3.183178708238,0.00382227038285071,0.0479471047940449,-2.2038356338701,"up-regulated"
"AGPAT4",0.737855108602565,5.47710144836,4.34990046025141,0.000194799673140533,0.00658790628224007,0.619214628505415,"up-regulated"
"SEC23A",0.732963722519234,8.88099423704,3.61608421996946,0.00129376777669096,0.0241084570443409,-1.18503350967996,"up-regulated"
"RND3",-0.732702583391022,9.44936817528,-3.43099272181001,0.00206469883043946,0.0323004513588206,-1.62623575755685,"down-regulated"
"GPR68",0.732629450487182,5.93256604608,3.55608959272439,0.00150633390228504,0.0262799245266424,-1.32885480214542,"up-regulated"
"ADRA1D",0.73169747342308,4.41178380932,3.78763982673021,0.000835058266154276,0.0181517115660155,-0.769977711392094,"up-regulated"
"ANO5",-0.730817145743591,2.94998667712,-3.29948576097247,0.00286730936935425,0.0399347895126811,-1.93480556501847,"down-regulated"
"MAK16",-0.730636662871796,7.66587296536,-5.05389498004148,3.0990586007674e-05,0.00186917505892,2.38618827496895,"down-regulated"
"KIF3C",0.727091634108976,4.73452769268,7.88924450061419,2.69242807245177e-08,1.09391957184458e-05,9.16306853577919,"up-regulated"
"HIVEP2",0.726779265826925,6.29132115252,6.78026195180973,3.82225708310221e-07,8.82523326828147e-05,6.62191745261501,"up-regulated"
"CCDC99",0.726770235102565,7.44660493808,3.92397903394728,0.000588164630298515,0.014155225964041,-0.436632075611579,"up-regulated"
"HOXD3",0.726452500833334,3.9106870304,4.99079993148966,3.65339832398488e-05,0.00209249097029165,2.22768000030163,"up-regulated"
"ATOH8",0.72477955973077,7.54308915244,3.14727562997145,0.00417440646835067,0.049903908925191,-2.28608634316683,"up-regulated"
"TRIM32",0.719935783583336,6.26779938012,12.4997894220039,2.34487914610287e-12,1.15500930473207e-08,17.8442379995014,"up-regulated"
"HSPB6",0.719410749833335,7.04282232892,4.60641208397178,9.97178635258695e-05,0.00428359180174665,1.26173487321181,"up-regulated"
"NEGR1",0.718835862397436,9.01058903072,4.68232112485097,8.17756211828171e-05,0.00372317737371466,1.45236005296828,"up-regulated"
"C11orf54",-0.71793065128846,6.00308549892,-5.36648707589305,1.37462734179654e-05,0.00111609166097404,3.1697322859775,"down-regulated"
"AMOT",-0.717514326512821,4.95494916112,-4.6276191501395,9.43423228164866e-05,0.00412454587058942,1.31497563935357,"down-regulated"
"PRKD1",0.715541390000002,7.3299477572,3.83706186506574,0.000735599246360289,0.0165888489416014,-0.649468367958165,"up-regulated"
"HOXD9",0.714653096961541,5.46659665408,4.49342304515209,0.000133953557863733,0.00515146736605383,0.978333777332338,"up-regulated"
"GALNT10",0.714485385025641,7.28164151112,3.14769808714673,0.004170087328939,0.0498958546232644,-2.28512081072649,"up-regulated"
"SPEG",0.714407970224358,5.3960337884,4.78394394320514,6.27033148475557e-05,0.00305241636483644,1.70773356610928,"up-regulated"
"SSFA2",-0.713411785589741,8.26345620784,-3.96964459326987,0.000522792236519227,0.0130084932791591,-0.324384595555524,"down-regulated"
"KATNAL1",0.712809427717954,6.33045680392,4.50648494015133,0.000129461602137376,0.00506098966874077,1.01106989841777,"up-regulated"
"CLTB",-0.711318889153847,6.04906873136,-3.47728217127161,0.0018379014542973,0.0300800296735281,-1.51660952842766,"down-regulated"
"TBC1D8",-0.710923802282052,6.33628297352,-3.85492418858762,0.000702596600012798,0.0163229927148988,-0.605819458564874,"down-regulated"
"SLC7A2",-0.710471280371797,4.99964269396,-4.35277200896831,0.000193346904120839,0.00658790628224007,0.626387805434705,"down-regulated"
"PGD",-0.710236428730767,9.39861201744,-4.64855216262387,8.93202255209308e-05,0.00399542557957298,1.36754050199086,"down-regulated"
"FLNC",0.709992349846155,9.33531343008,5.19751088232158,2.13200324700713e-05,0.0014385667571244,2.74661895360789,"up-regulated"
"SALL1",0.70982060847436,2.37495130576,4.21099774883105,0.000279674769314748,0.00879309375779581,0.272955618445445,"up-regulated"
"INPP4B",0.709522854461538,5.52074959368,4.63991902957892,9.13582220729474e-05,0.00405223350838804,1.34586047070006,"up-regulated"
"PIM3",-0.708683079858974,7.86716595636,-3.18935174053828,0.003764677606749,0.0474259514023273,-2.18965473454226,"down-regulated"
"MANSC1",-0.703759765102563,6.26332770752,-3.48923479264884,0.00178339269413647,0.0296422408505888,-1.48822181933506,"down-regulated"
"NMT2",-0.69968551452564,6.48907143972,-3.53268161082874,0.00159820025720352,0.0275157214816701,-1.38476520514128,"down-regulated"
"S100A16",-0.697897095025642,10.72594738208,-3.89031551858459,0.000641450815084828,0.0151902543181226,-0.519195069803334,"down-regulated"
"SOCS5",0.696561338974358,7.6277388304,6.64231147453947,5.37345132467609e-07,0.000115765416138173,6.29433836958194,"up-regulated"
"FAM169A",-0.693250557525642,3.21239907108,-3.49501239984425,0.00175761163833215,0.0293803474882739,-1.47448827424389,"down-regulated"
"KIAA1324",-0.692396989705127,6.29687736748,-3.21610638535359,0.00352457621875074,0.0458070912792258,-2.1280631393371,"down-regulated"
"ERBB4",-0.691501883814102,2.974572566,-3.72457912840799,0.000981308536253906,0.0201120613595339,-0.923158816977383,"down-regulated"
"CDK1",-0.69090116202564,4.80387016592,-3.29850517350615,0.00287430201337551,0.0399939367717983,-1.93708955861753,"down-regulated"
"GYPC",-0.689792371858973,10.4313376892,-5.26577595344133,1.78529357213347e-05,0.00129957059681854,2.91770121906442,"down-regulated"
"TSHZ1",0.688105689089743,7.77469091684,5.81041162761025,4.37698200177332e-06,0.000509280811340192,4.27344554807717,"up-regulated"
"CYP7B1",0.687009591358977,5.78200285816,4.34022605949596,0.000199774465760285,0.00670924381940848,0.595051863316412,"up-regulated"
"KCNK2",0.685608762243591,5.1529160678,4.99750831425589,3.59001294898777e-05,0.00208037730773303,2.24453624329549,"up-regulated"
"FLI1",0.683894161602564,4.6773498518,4.01089730868446,0.000469929579614433,0.0120978212508057,-0.222751438929809,"up-regulated"
"TBX5",0.682617304500002,2.57358683816,3.71662909784401,0.00100144261509667,0.0203553198394547,-0.942421524239616,"up-regulated"
"ABCA3",-0.682587865871795,4.79900482492,-3.74935395325144,0.000921075839938191,0.0193334342141572,-0.863059032906736,"down-regulated"
"SCNN1G",-0.68035251476923,3.28854779968,-3.15088560751677,0.00413763670895624,0.0496281312079922,-2.27783391854883,"down-regulated"
"GAS7",0.68027480901923,5.78595529956,3.42306640002163,0.0021061689279108,0.0326920779913214,-1.64495666554301,"up-regulated"
"HSD17B11",0.679941587397437,7.42260777172,5.81974674957709,4.27359102730046e-06,0.000501197258812848,4.29650001892851,"up-regulated"
"SPATA13",-0.679765683198719,5.74420765668,-4.92395732475921,4.34972723383672e-05,0.00238943938046116,2.05969141617899,"down-regulated"
"PRDM6",0.675890801294872,5.31247003316,5.41225051003152,1.22090169246143e-05,0.00102113877445099,3.28409102731044,"up-regulated"
"PTPRK",-0.673369147570512,6.35304910432,-4.86564751651345,5.06513325453002e-05,0.00266361117801388,1.91311694931848,"down-regulated"
"SAMD3",0.670519537519231,3.03319998824,3.35457927370095,0.00249979369331546,0.0362635008980079,-1.80607085023963,"up-regulated"
"GRB10",0.669645096801283,6.17566557108,4.20229207800921,0.00028607697535354,0.0089562700525408,0.251306144216948,"up-regulated"
"ST3GAL2",0.667953343794873,6.34956615756,3.44492753867028,0.00199370730457432,0.0314674688946437,-1.59328719713273,"up-regulated"
"SACS",0.666711016153849,7.2707513366,4.8400767170961,5.41500566595753e-05,0.0027880675514235,1.84883617993592,"up-regulated"
"FZD5",-0.665049763000001,5.28568599576,-3.71896621759683,0.000995482033444674,0.0202899834596027,-0.936759909957702,"down-regulated"
"SMAD3",-0.66452924678205,7.93409508316,-3.83114955917065,0.000746855025051161,0.0167750485536372,-0.6639050697576,"down-regulated"
"MELK",-0.664402737423076,5.45639265996,-3.47204916567077,0.00186227301415007,0.030179255176517,-1.52902774508464,"down-regulated"
"EHD1",-0.663992731647435,8.33787062304,-4.84216236992912,5.38558326720511e-05,0.00278261412375839,1.85407915884454,"down-regulated"
"TRPC1",0.66361861546154,5.20612876896,3.31233827755536,0.0027771636964069,0.039009646332514,-1.90484544834676,"up-regulated"
"RRP15",-0.663567699705126,5.31699346668,-4.34560889999355,0.00019699110551135,0.00663691454813692,0.608495260590271,"down-regulated"
"GGT5",0.661703428628206,7.06280497828,4.96369473458162,3.92115827482846e-05,0.00220699863288497,2.15956574336697,"up-regulated"
"SLC25A29",-0.661111879641024,5.10975804608,-4.43478999205749,0.000156108760799151,0.005695849773652,0.831486077037628,"down-regulated"
"HIC1",0.660394842737181,6.26601254336,3.56674408695151,0.0014662445066686,0.0259170993720596,-1.30336776728166,"up-regulated"
"PCBD2",-0.659424353051282,4.91284986992,-4.95123512470769,4.05076651005276e-05,0.00225879912147357,2.12825207055248,"down-regulated"
"ST5",0.659082939025641,6.29932094704,4.45796246553316,0.000146947073289627,0.0055112611725909,0.889501482681089,"up-regulated"
"OCIAD2",-0.65861841430769,6.44552371144,-3.33433627945055,0.00262919532440962,0.0375015630393831,-1.85346453249881,"down-regulated"
"APPL2",0.658253968884615,7.56457024068,3.46801613578981,0.00188127013002401,0.0304152392903336,-1.53859405324484,"up-regulated"
"TWSG1",0.65787258878205,7.315620221,4.95132139848167,4.04985444429557e-05,0.00225879912147357,2.12846890118877,"up-regulated"
"TOB1",-0.656963889282048,9.04422245376,-4.61074230217497,9.85959419865759e-05,0.00426009425361296,1.27260490948096,"down-regulated"
"TTYH3",0.654870462134621,8.51369551744,3.59435775314543,0.00136712664990624,0.02487934791338,-1.23720205084201,"up-regulated"
"GPR65",0.654576668346154,2.80459394396,3.22517711969877,0.00344657430756825,0.0450708217194125,-2.10713413034609,"up-regulated"
"ZNF436",0.654337835500001,6.25187361404,4.59847833794396,0.00010180660763418,0.00430544176437673,1.24182047112314,"up-regulated"
"HOXA4",0.653991718961539,4.14080260964,5.23566398203446,1.93062177825011e-05,0.00135620497112232,2.84225866185104,"up-regulated"
"H2AFY2",-0.65278649925641,6.14569990328,-4.81832442011855,5.73163366049509e-05,0.00288881893193701,1.79415513709405,"down-regulated"
"PPTC7",-0.651751695384615,7.0779549006,-6.57434382157657,6.36047646063668e-07,0.000130539945359484,6.13208387991685,"down-regulated"
"EGFR",-0.650736729910256,6.27148052172,-3.98513943085869,0.000502281912026729,0.0126446953743941,-0.286235552603731,"down-regulated"
"BAG1",-0.650435110282051,7.24489930768,-4.19663691447684,0.000290313446897067,0.00901252479999572,0.237246373314653,"down-regulated"
"LPHN2",-0.646917006679484,7.73509938864,-3.6331585845438,0.00123882866424729,0.0235297829968923,-1.14396939675151,"down-regulated"
"PCCB",-0.646623720910254,7.72136769004,-5.08929836870027,2.82587861509489e-05,0.00173791932853566,2.47509279661488,"down-regulated"
